"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Infant Birth Weight 12"	"Infant Birth Weight 12 Code"	Births
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"499 grams or less"	"01"	12
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"500 - 999 grams"	"02"	36
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"1000 - 1499 grams"	"03"	42
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"1500 - 1999 grams"	"04"	116
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"2000 - 2499 grams"	"05"	318
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"2500 - 2999 grams"	"06"	995
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"3000 - 3499 grams"	"07"	1845
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"3500 - 3999 grams"	"08"	1133
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"4000 - 4499 grams"	"09"	266
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"4500 - 4999 grams"	"10"	36
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"499 grams or less"	"01"	11
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"500 - 999 grams"	"02"	37
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"1000 - 1499 grams"	"03"	47
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"1500 - 1999 grams"	"04"	65
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"2000 - 2499 grams"	"05"	257
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"2500 - 2999 grams"	"06"	1020
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"3000 - 3499 grams"	"07"	1795
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"3500 - 3999 grams"	"08"	1165
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"4000 - 4499 grams"	"09"	273
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"4500 - 4999 grams"	"10"	43
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"499 grams or less"	"01"	15
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"500 - 999 grams"	"02"	52
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"1000 - 1499 grams"	"03"	36
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"1500 - 1999 grams"	"04"	92
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"2000 - 2499 grams"	"05"	304
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"2500 - 2999 grams"	"06"	1041
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"3000 - 3499 grams"	"07"	1845
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"3500 - 3999 grams"	"08"	1131
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"4000 - 4499 grams"	"09"	258
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"4500 - 4999 grams"	"10"	44
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"499 grams or less"	"01"	12
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"500 - 999 grams"	"02"	42
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"1000 - 1499 grams"	"03"	39
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"1500 - 1999 grams"	"04"	90
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"2000 - 2499 grams"	"05"	290
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"2500 - 2999 grams"	"06"	869
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"3000 - 3499 grams"	"07"	1776
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"3500 - 3999 grams"	"08"	1101
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"4000 - 4499 grams"	"09"	253
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"4500 - 4999 grams"	"10"	44
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"499 grams or less"	"01"	20
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"500 - 999 grams"	"02"	35
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"1000 - 1499 grams"	"03"	56
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"1500 - 1999 grams"	"04"	99
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"2000 - 2499 grams"	"05"	283
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"2500 - 2999 grams"	"06"	988
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"3000 - 3499 grams"	"07"	1802
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"3500 - 3999 grams"	"08"	1202
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"4000 - 4499 grams"	"09"	272
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"4500 - 4999 grams"	"10"	35
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"500 - 999 grams"	"02"	51
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"1000 - 1499 grams"	"03"	43
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"1500 - 1999 grams"	"04"	107
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"2000 - 2499 grams"	"05"	329
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"2500 - 2999 grams"	"06"	1048
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"3000 - 3499 grams"	"07"	1934
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"3500 - 3999 grams"	"08"	1203
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"4000 - 4499 grams"	"09"	292
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"4500 - 4999 grams"	"10"	32
	"Alabama"	"01"	"2016"	"2016"	"July"	"7"	"499 grams or less"	"01"	10
	"Alabama"	"01"	"2016"	"2016"	"July"	"7"	"500 - 999 grams"	"02"	39
	"Alabama"	"01"	"2016"	"2016"	"July"	"7"	"1000 - 1499 grams"	"03"	55
	"Alabama"	"01"	"2016"	"2016"	"July"	"7"	"1500 - 1999 grams"	"04"	102
	"Alabama"	"01"	"2016"	"2016"	"July"	"7"	"2000 - 2499 grams"	"05"	334
	"Alabama"	"01"	"2016"	"2016"	"July"	"7"	"2500 - 2999 grams"	"06"	1051
