"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Infant Birth Weight 12"	"Infant Birth Weight 12 Code"	Births
	"Alabama"	"01"	"2019"	"2019"	"June"	"6"	"3000 - 3499 grams"	"07"	1670
	"Alabama"	"01"	"2019"	"2019"	"June"	"6"	"3500 - 3999 grams"	"08"	1093
	"Alabama"	"01"	"2019"	"2019"	"June"	"6"	"4000 - 4499 grams"	"09"	205
	"Alabama"	"01"	"2019"	"2019"	"June"	"6"	"4500 - 4999 grams"	"10"	27
	"Alabama"	"01"	"2019"	"2019"	"July"	"7"	"499 grams or less"	"01"	13
	"Alabama"	"01"	"2019"	"2019"	"July"	"7"	"500 - 999 grams"	"02"	33
	"Alabama"	"01"	"2019"	"2019"	"July"	"7"	"1000 - 1499 grams"	"03"	53
	"Alabama"	"01"	"2019"	"2019"	"July"	"7"	"1500 - 1999 grams"	"04"	98
	"Alabama"	"01"	"2019"	"2019"	"July"	"7"	"2000 - 2499 grams"	"05"	320
	"Alabama"	"01"	"2019"	"2019"	"July"	"7"	"2500 - 2999 grams"	"06"	1050
	"Alabama"	"01"	"2019"	"2019"	"July"	"7"	"3000 - 3499 grams"	"07"	2019
	"Alabama"	"01"	"2019"	"2019"	"July"	"7"	"3500 - 3999 grams"	"08"	1148
	"Alabama"	"01"	"2019"	"2019"	"July"	"7"	"4000 - 4499 grams"	"09"	276
	"Alabama"	"01"	"2019"	"2019"	"July"	"7"	"4500 - 4999 grams"	"10"	49
	"Alabama"	"01"	"2019"	"2019"	"August"	"8"	"499 grams or less"	"01"	12
	"Alabama"	"01"	"2019"	"2019"	"August"	"8"	"500 - 999 grams"	"02"	36
	"Alabama"	"01"	"2019"	"2019"	"August"	"8"	"1000 - 1499 grams"	"03"	55
	"Alabama"	"01"	"2019"	"2019"	"August"	"8"	"1500 - 1999 grams"	"04"	99
	"Alabama"	"01"	"2019"	"2019"	"August"	"8"	"2000 - 2499 grams"	"05"	383
	"Alabama"	"01"	"2019"	"2019"	"August"	"8"	"2500 - 2999 grams"	"06"	1170
	"Alabama"	"01"	"2019"	"2019"	"August"	"8"	"3000 - 3499 grams"	"07"	2181
	"Alabama"	"01"	"2019"	"2019"	"August"	"8"	"3500 - 3999 grams"	"08"	1245
	"Alabama"	"01"	"2019"	"2019"	"August"	"8"	"4000 - 4499 grams"	"09"	239
	"Alabama"	"01"	"2019"	"2019"	"August"	"8"	"4500 - 4999 grams"	"10"	33
	"Alabama"	"01"	"2019"	"2019"	"September"	"9"	"499 grams or less"	"01"	14
	"Alabama"	"01"	"2019"	"2019"	"September"	"9"	"500 - 999 grams"	"02"	33
	"Alabama"	"01"	"2019"	"2019"	"September"	"9"	"1000 - 1499 grams"	"03"	56
	"Alabama"	"01"	"2019"	"2019"	"September"	"9"	"1500 - 1999 grams"	"04"	109
	"Alabama"	"01"	"2019"	"2019"	"September"	"9"	"2000 - 2499 grams"	"05"	328
	"Alabama"	"01"	"2019"	"2019"	"September"	"9"	"2500 - 2999 grams"	"06"	1060
	"Alabama"	"01"	"2019"	"2019"	"September"	"9"	"3000 - 3499 grams"	"07"	2054
	"Alabama"	"01"	"2019"	"2019"	"September"	"9"	"3500 - 3999 grams"	"08"	1251
	"Alabama"	"01"	"2019"	"2019"	"September"	"9"	"4000 - 4499 grams"	"09"	279
	"Alabama"	"01"	"2019"	"2019"	"September"	"9"	"4500 - 4999 grams"	"10"	39
	"Alabama"	"01"	"2019"	"2019"	"October"	"10"	"499 grams or less"	"01"	10
	"Alabama"	"01"	"2019"	"2019"	"October"	"10"	"500 - 999 grams"	"02"	39
	"Alabama"	"01"	"2019"	"2019"	"October"	"10"	"1000 - 1499 grams"	"03"	59
	"Alabama"	"01"	"2019"	"2019"	"October"	"10"	"1500 - 1999 grams"	"04"	108
	"Alabama"	"01"	"2019"	"2019"	"October"	"10"	"2000 - 2499 grams"	"05"	342
	"Alabama"	"01"	"2019"	"2019"	"October"	"10"	"2500 - 2999 grams"	"06"	1145
	"Alabama"	"01"	"2019"	"2019"	"October"	"10"	"3000 - 3499 grams"	"07"	1960
	"Alabama"	"01"	"2019"	"2019"	"October"	"10"	"3500 - 3999 grams"	"08"	1252
	"Alabama"	"01"	"2019"	"2019"	"October"	"10"	"4000 - 4499 grams"	"09"	255
	"Alabama"	"01"	"2019"	"2019"	"October"	"10"	"4500 - 4999 grams"	"10"	32
	"Alabama"	"01"	"2019"	"2019"	"November"	"11"	"499 grams or less"	"01"	12
	"Alabama"	"01"	"2019"	"2019"	"November"	"11"	"500 - 999 grams"	"02"	34
	"Alabama"	"01"	"2019"	"2019"	"November"	"11"	"1000 - 1499 grams"	"03"	67
	"Alabama"	"01"	"2019"	"2019"	"November"	"11"	"1500 - 1999 grams"	"04"	89
	"Alabama"	"01"	"2019"	"2019"	"November"	"11"	"2000 - 2499 grams"	"05"	330
