"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Infant Birth Weight 12"	"Infant Birth Weight 12 Code"	Births
	"Alabama"	"01"	"2020"	"2020"	"January"	"1"	"500 - 999 grams"	"02"	34
	"Alabama"	"01"	"2020"	"2020"	"January"	"1"	"1000 - 1499 grams"	"03"	52
	"Alabama"	"01"	"2020"	"2020"	"January"	"1"	"1500 - 1999 grams"	"04"	97
	"Alabama"	"01"	"2020"	"2020"	"January"	"1"	"2000 - 2499 grams"	"05"	323
	"Alabama"	"01"	"2020"	"2020"	"January"	"1"	"2500 - 2999 grams"	"06"	1134
	"Alabama"	"01"	"2020"	"2020"	"January"	"1"	"3000 - 3499 grams"	"07"	1937
	"Alabama"	"01"	"2020"	"2020"	"January"	"1"	"3500 - 3999 grams"	"08"	1107
	"Alabama"	"01"	"2020"	"2020"	"January"	"1"	"4000 - 4499 grams"	"09"	230
	"Alabama"	"01"	"2020"	"2020"	"January"	"1"	"4500 - 4999 grams"	"10"	24
	"Alabama"	"01"	"2020"	"2020"	"February"	"2"	"500 - 999 grams"	"02"	31
	"Alabama"	"01"	"2020"	"2020"	"February"	"2"	"1000 - 1499 grams"	"03"	56
	"Alabama"	"01"	"2020"	"2020"	"February"	"2"	"1500 - 1999 grams"	"04"	101
	"Alabama"	"01"	"2020"	"2020"	"February"	"2"	"2000 - 2499 grams"	"05"	299
	"Alabama"	"01"	"2020"	"2020"	"February"	"2"	"2500 - 2999 grams"	"06"	1015
	"Alabama"	"01"	"2020"	"2020"	"February"	"2"	"3000 - 3499 grams"	"07"	1664
	"Alabama"	"01"	"2020"	"2020"	"February"	"2"	"3500 - 3999 grams"	"08"	1008
	"Alabama"	"01"	"2020"	"2020"	"February"	"2"	"4000 - 4499 grams"	"09"	219
	"Alabama"	"01"	"2020"	"2020"	"February"	"2"	"4500 - 4999 grams"	"10"	45
	"Alabama"	"01"	"2020"	"2020"	"March"	"3"	"500 - 999 grams"	"02"	32
	"Alabama"	"01"	"2020"	"2020"	"March"	"3"	"1000 - 1499 grams"	"03"	45
	"Alabama"	"01"	"2020"	"2020"	"March"	"3"	"1500 - 1999 grams"	"04"	89
	"Alabama"	"01"	"2020"	"2020"	"March"	"3"	"2000 - 2499 grams"	"05"	315
	"Alabama"	"01"	"2020"	"2020"	"March"	"3"	"2500 - 2999 grams"	"06"	1013
	"Alabama"	"01"	"2020"	"2020"	"March"	"3"	"3000 - 3499 grams"	"07"	1796
	"Alabama"	"01"	"2020"	"2020"	"March"	"3"	"3500 - 3999 grams"	"08"	1168
	"Alabama"	"01"	"2020"	"2020"	"March"	"3"	"4000 - 4499 grams"	"09"	282
	"Alabama"	"01"	"2020"	"2020"	"March"	"3"	"4500 - 4999 grams"	"10"	26
	"Alabama"	"01"	"2020"	"2020"	"April"	"4"	"500 - 999 grams"	"02"	38
	"Alabama"	"01"	"2020"	"2020"	"April"	"4"	"1000 - 1499 grams"	"03"	31
	"Alabama"	"01"	"2020"	"2020"	"April"	"4"	"1500 - 1999 grams"	"04"	94
	"Alabama"	"01"	"2020"	"2020"	"April"	"4"	"2000 - 2499 grams"	"05"	334
	"Alabama"	"01"	"2020"	"2020"	"April"	"4"	"2500 - 2999 grams"	"06"	947
	"Alabama"	"01"	"2020"	"2020"	"April"	"4"	"3000 - 3499 grams"	"07"	1792
	"Alabama"	"01"	"2020"	"2020"	"April"	"4"	"3500 - 3999 grams"	"08"	1049
	"Alabama"	"01"	"2020"	"2020"	"April"	"4"	"4000 - 4499 grams"	"09"	249
	"Alabama"	"01"	"2020"	"2020"	"April"	"4"	"4500 - 4999 grams"	"10"	24
	"Alabama"	"01"	"2020"	"2020"	"May"	"5"	"500 - 999 grams"	"02"	40
	"Alabama"	"01"	"2020"	"2020"	"May"	"5"	"1000 - 1499 grams"	"03"	51
	"Alabama"	"01"	"2020"	"2020"	"May"	"5"	"1500 - 1999 grams"	"04"	94
	"Alabama"	"01"	"2020"	"2020"	"May"	"5"	"2000 - 2499 grams"	"05"	275
	"Alabama"	"01"	"2020"	"2020"	"May"	"5"	"2500 - 2999 grams"	"06"	983
	"Alabama"	"01"	"2020"	"2020"	"May"	"5"	"3000 - 3499 grams"	"07"	1705
	"Alabama"	"01"	"2020"	"2020"	"May"	"5"	"3500 - 3999 grams"	"08"	1051
	"Alabama"	"01"	"2020"	"2020"	"May"	"5"	"4000 - 4499 grams"	"09"	255
	"Alabama"	"01"	"2020"	"2020"	"May"	"5"	"4500 - 4999 grams"	"10"	35
	"Alabama"	"01"	"2020"	"2020"	"June"	"6"	"499 grams or less"	"01"	10
	"Alabama"	"01"	"2020"	"2020"	"June"	"6"	"500 - 999 grams"	"02"	38
	"Alabama"	"01"	"2020"	"2020"	"June"	"6"	"1000 - 1499 grams"	"03"	55
